Channel 1,Channel 2
6830,7822
6942,7790
7077,7592
7225,7543
7395,7385
7624,7230
7872,7083
8102,6938
8424,6827
8712,6706
8974,6648
9219,6597
9429,6549
9522,6498
9563,6550
9569,6539
9674,6590
9690,6666
9655,6735
9645,6873
9579,6902
9345,7011
9114,7157
9048,7232
8727,7318
8620,7427
8456,7646
8227,7692
8045,7775
7870,7926
7684,8046
7526,8140
7383,8279
7215,8356
7040,8409
6946,8449
6901,8445
6866,8482
6795,8507
6721,8410
6722,8350
6772,8261
6861,8162
6939,8048
6965,7902
7064,7774
7199,7580
7281,7380
7525,7340
7685,7082
7810,6980
7936,6827
8214,6786
8325,6641
8585,6618
8789,6604
8874,6605
9035,6638
9189,6699
9282,6744
9327,6774
9300,6898
9291,6948
9220,7033
9176,7177
9172,7239
8888,7281
8765,7382
8520,7479
8347,7591
8141,7654
7986,7717
7796,7778
7546,7825
7376,7837
7229,7926
7093,7939
6959,7947
6862,7868
6744,7880
6699,7871
6640,7807
6655,7785
6695,7744
6758,7640
6877,7593
7012,7509
7093,7384
7236,7291
7433,7171
7651,7083
7811,6997
8074,6895
8364,6809
8618,6703
8732,6612
8959,6569
9191,6534
9410,6508
9487,6529
9646,6549
9724,6597
9854,6693
9872,6764
9851,6858
9830,6964
9736,7127
9522,7247
9319,7447
9080,7566
8854,7722
8603,7838
8385,7905
8155,8066
7878,8161
7635,8264
7417,8322
7157,8343
7048,8344
6902,8376
6824,8412
6773,8349
6786,8250
6792,8195
6833,8136
6951,8026
7090,7917
7266,7796
7470,7675
7731,7569
7929,7419
8160,7312
8301,7182
8600,7060
8819,6967
9050,6799
9285,6735
9439,6668
9575,6596
9569,6559
9694,6550
9863,6552
9940,6627
9934,6735
9861,6846
9776,6993
9710,7122
9677,7338
9655,7572
9430,7708
9282,7953
9214,8169
9032,8391
8887,8567
8793,8663
8585,8816
8328,8987
8105,9119
7803,9171
7529,9244
7335,9210
7193,9185
6998,9117
6919,9077
6792,8876
6799,8717
6852,8528
6959,8417
7118,8248
7312,8072
7508,7871
7801,7704
8058,7580
8328,7354
8636,7140
8910,7027
9243,6884
9484,6771
9778,6695
10112,6640
10462,6611
10692,6558
10736,6576
10791,6634
10724,6649
10686,6705
10727,6802
10626,6898
10619,6992
10555,7135
10323,7219
9984,7381
9749,7582
9626,7794
9460,8042
9155,8311
8880,8521
8712,8696
8518,8964
8289,9191
8059,9294
7842,9389
7669,9440
7481,9575
7334,9543
7257,9420
7136,9312
7128,9208
7153,9022
7225,8807
7351,8584
7544,8379
7801,8121
8056,7919
8416,7711
8771,7535
9149,7350
9499,7169
9750,6993
10165,6872
10519,6834
10752,6777
10933,6732
11075,6757
11397,6813
11451,6880
11615,7033
11508,7123
11266,7291
10968,7430
10704,7539
10651,7724
10629,7956
10403,8127
10031,8302
9655,8592
9373,8843
9105,9229
8793,9479
8538,9699
8198,9946
7970,10076
7748,10154
7559,10234
7427,10453
7306,10410
7315,10556
7276,10489
7275,10364
7338,10234
7409,9979
7561,9746
7745,9454
7947,9377
8256,9123
8532,8796
8854,8471
9153,8177
9447,7918
10033,7715
10271,7426
10548,7232
10791,7104
11231,7009
11363,6964
11463,6904
11582,6918
11685,6965
11777,7068
11785,7182
11557,7298
11498,7457
11283,7619
10979,7780
10890,7986
10685,8272
10422,8574
10103,8860
9750,9180
9330,9348
9110,9507
8801,9702
8539,9796
8235,9805
7923,9859
7681,10007
7542,10071
7353,9882
7221,9961
7153,9958
7111,9775
7093,9754
7209,9728
7340,9314
7533,8951
7838,8652
8189,8510
8569,8343
8998,8137
9380,7873
9643,7603
9923,7375
10206,7210
10406,7069
10741,6980
10944,6930
10975,6889
11169,6913
11388,6968
11334,7086
11194,7260
10928,7396
10675,7655
10398,7900
10113,8225
9757,8451
9641,8793
9371,9118
8959,9394
8491,9644
8194,9852
7844,10307
7495,10674
7214,10902
6960,11149
6801,11268
6699,11366
6516,11426
6380,11313
6288,11223
6210,11015
6193,10836
6177,10573
6173,10260
6162,9995
6153,9680
6153,9462
6151,9170
6148,8762
6136,8409
6141,8134
6134,7782
6135,7576
6140,7327
6138,7096
6137,6925
6142,6796
6125,6769
6120,6768
6118,6807
6111,6892
6136,7032
6110,7245
6114,7469
6117,7730
6129,8057
6116,8321
6122,8575
6117,8835
6120,9047
6121,9271
6117,9316
6128,9320
6107,9352
6110,9290
6114,9216
6112,9149
6119,9072
6112,8903
6116,8713
6115,8685
6112,8560
6113,8420
6122,8283
6112,8044
6111,7912
6120,7650
6107,7482
6114,7303
6106,7059
6113,6844
6107,6677
6114,6480
6113,6355
6102,6252
6111,6219
6108,6202
6108,6192
6107,6175
6108,6178
6106,6165
6106,6183
6111,6170
6103,6180
6113,6171
6113,6177
6112,6153
6103,6151
6111,6146
6109,6153
6103,6122
6107,6085
6097,6066
6110,6065
6111,6076
6101,6065
6113,6070
6117,6062
6108,6073
6110,6066
6108,6063
6107,6059
6101,6053
6107,6067
6110,6065
6110,6077
6109,6051
6104,6060
6106,6056
6109,6045
6104,6066
6111,6055
6114,6051
6108,6061
6103,6068
6105,6041
6108,6067
6107,6045
6103,6063
6098,6063
6106,6057
6114,6053
6113,6070
6115,6062
6117,6053
6104,6058
6104,6058
6111,6064
6113,6051
6109,6057
6107,6052
6114,6062
6114,6049
6111,6046
6110,6049
6123,6056
6114,6041
6110,6053
6112,6060
6107,6046
6113,6053
6124,6050
6108,6049
6115,6056
6104,6041
6106,6058
6117,6049
6101,6043
6104,6041
6108,6060
6109,6037
6113,6057
6098,6027
6108,6040
6110,6052
6113,6028
6113,6046
6114,6053
6108,6054
6109,6051
6109,6036
6111,6056
6104,6031
6114,6049
6113,6043
6115,6048
6108,6048
6115,6047
6106,6048
6103,6053
6112,6040
6110,6052
6111,6043
6111,6057
6102,6056
6104,6038
6106,6030
6107,6042
6099,6053
6110,6047
6112,6040
6113,6047
6109,6057
6106,6046
6098,6055
6107,6063
6103,6027
6118,6048
6111,6053
6095,6068
6110,6058
6112,6061
6105,6061
6102,6049
6095,6055
6101,6056
6108,6047
6116,6052
6105,6056
6091,6059
6104,6051
6107,6052
6106,6039
6108,6038
6100,6056
6109,6052
6107,6063
6116,6054
6110,6054
6102,6053
6098,6051
6113,6052
6106,6040
6106,6034
6108,6043
6098,6059
6110,6049
6109,6034
6109,6041
6096,6066
6106,6036
6108,6061
6114,6061
6110,6050
6104,6058
6099,6040
6107,6051
6106,6050
6101,6058
6109,6055
6098,6048
6102,6051
6110,6035
6107,6039
6104,6052
6104,6051
6105,6049
6099,6056
6101,6050
6110,6044
6093,6048
6100,6047
6106,6070
6105,6047
6094,6046
6111,6059
6101,6038
6107,6063
6109,6053
6115,6051
6103,6055
6102,6032
6105,6050
6106,6058
6100,6048
6122,6038
6102,6045
6105,6041
6101,6052
6103,6047
6110,6048
6106,6046
6101,6054
6104,6050
6104,6047
6100,6054
6096,6047
6109,6046
6106,6015
6104,6047
6108,6049
6114,6040
6182,6078
6091,6139
5986,5862
6220,6157
6108,6010
6080,5996
6084,6030
6098,6051
6096,6021
6101,6056
6099,6050
6091,6051
6093,6039
6105,6048
6092,6054
6106,6045
6103,6046
6105,6057
6097,6041
6103,6043
6103,6039
6101,6047
6111,6044
6099,6051
6100,6052
6101,6039
6106,6034
6102,6050
6102,6042
6114,6048
6096,6050
6091,6046
6105,6054
6102,6056
6095,6073
6101,6052
6098,6050
6103,6032
6101,6056
6098,6052
6112,6048
6105,6043
6112,6048
6106,6041
6097,6047
6102,6052
6096,6048
6104,6056
6112,6051
6108,6040
6104,6047
6104,6058
6103,6056
6107,6046
6103,6036
6111,6034
6094,6031
6096,6043
6108,6051
6105,6054
6111,6051
6103,6053
6107,6045
6109,6031
6111,6047
6105,6050
6117,6059
6105,6042
6096,6055
6106,6053
6105,6059
6112,6056
6104,6048
6095,6040
6109,6052
6097,6040
6102,6052
6104,6055
6104,6050
6106,6052
6103,6056
6111,6063
6108,6052
6110,6039
6117,6022
6111,6047
6108,6058
6116,6067
6105,6051
6115,6053
6109,6062
6107,6050
6099,6041
6112,6045
6113,6057
6103,6062
6098,6054
6111,6044
6096,6047
6112,6051
6109,6057
6103,6055
6109,6042
6111,6050
6110,6047
6120,6046
6108,6048
6102,6069
6102,6047
6108,6043
6099,6047
6094,6059
6106,5997
6106,6048
6092,6048
6111,6055
6111,6056
6101,6056
6100,6049
6103,6048
6105,6043
6112,6044
6110,6052
6108,6052
6107,6057
6103,6048
6106,6050
6105,6051
6103,6048
6096,6050
6106,6045
6099,5997
6103,6037
6110,6051
6103,6051
6090,6051
6111,6054
6104,6054
6094,6017
6102,6047
6096,6044
6099,6052
6103,6041
6101,6046
6108,6041
6102,6036
6108,6037
6105,6042
6113,6053
6098,6049
6105,6034
6104,6042
6095,6055
6105,6040
6097,6057
6111,6052
6107,6050
6110,6052
