Channel 1,Channel 2
6101,6061
6113,6057
6104,6066
6107,6060
6104,6064
6098,6056
6103,6034
6105,6060
6103,6063
6105,6067
6117,6039
6108,6071
6114,6061
6098,6060
6105,6054
6113,6050
6111,6063
6112,6045
6110,6039
6110,6056
6117,6063
6122,6061
6110,6060
6105,6057
6117,6054
6111,6054
6106,6051
6111,6059
6106,6064
6103,6056
6112,6054
6104,6050
6116,6045
6107,6056
6104,6048
6112,6058
6102,6055
6113,6042
6117,6050
6112,6045
6106,6038
6116,6042
6107,6047
6120,6049
6111,6047
6117,6057
6111,6048
6105,6050
6102,6059
6108,6049
6118,6044
6110,6056
6112,6044
6110,6052
6112,6058
6112,6051
6113,6054
6108,6050
6108,6046
6105,6052
6115,6055
6113,6048
6118,6057
6111,6061
6102,6042
6104,6054
6112,6047
6101,6030
6107,6045
6101,6062
6106,6058
6104,6039
6104,6045
6100,6061
6111,6048
6106,6056
6105,6043
6104,6044
6100,6050
6113,6057
6111,6045
6108,6055
6111,6045
6090,6039
6107,6053
6104,6053
6112,6043
6103,6059
6106,6050
6103,6042
6111,6057
6106,6059
6104,6051
6106,6056
6106,6049
6106,6040
6115,6065
6108,6049
6106,6047
6102,6037
6123,6056
6101,6022
6102,6055
6106,6061
6110,6063
6110,6053
6107,6044
6107,6041
6099,6060
6098,6056
6110,6051
6115,6045
6105,6057
6102,6057
6096,6057
6107,6042
6101,6057
6105,6037
6111,6051
6098,6063
6102,6047
6113,6052
6113,6052
6098,6056
6099,6044
6110,6057
6102,6058
6105,6057
6098,6049
6099,6048
6109,6039
6097,6066
6101,6041
6097,6049
6104,6056
6096,6051
6104,6062
6118,6055
6111,6057
6105,6052
6097,6034
6107,6040
6103,6050
6094,6056
6103,6051
6095,6055
6100,6061
6102,6049
6100,6055
6110,6054
6104,6050
6101,6048
6095,6048
6101,6048
6098,6063
6099,6040
6110,6056
6105,6038
6113,6050
6100,6054
6112,6055
6098,6040
6111,6037
6122,6058
6104,6043
6093,6033
6107,6040
6101,6047
6100,6062
6111,6040
6107,6068
6097,6050
6097,6053
6103,6050
6102,6047
6098,6046
6097,6042
6101,6057
6098,6056
6093,6048
6108,6050
6109,6051
6101,6046
6106,6051
6103,6049
6099,6049
6105,6049
6107,6055
6100,6055
6101,6053
6105,6049
6085,6049
6105,6044
6105,6050
6101,6063
6098,6051
6107,6042
6089,6062
6103,6047
6096,6047
6098,6048
6104,6046
6098,6048
6116,6052
6106,6055
6087,6051
6101,6061
6097,6049
6102,6037
6032,5981
6156,6038
6113,6098
6069,6025
6088,6056
6115,6070
6090,6037
6100,6055
6141,6087
6088,6034
6102,6045
6103,6042
6116,6065
6108,6068
6098,6046
6103,6057
6108,6061
6111,6036
6105,6061
6102,6057
6102,6051
6110,6055
6102,6055
6109,6050
6101,6055
6098,6056
6101,6046
6099,6047
6110,6050
6108,6051
6101,6053
6109,6059
6105,6062
6114,6055
6107,6049
6116,6055
6111,6054
6105,6055
6107,6050
6116,6056
6107,6045
6108,6057
6105,6057
6109,6055
6112,6044
6115,6054
6106,6048
6101,6052
6096,6064
6113,6036
6100,6056
6108,6046
6106,6052
6103,6061
6102,6056
6112,6052
6111,6038
6106,6047
6102,6061
6107,6058
6104,6043
6095,6043
6096,6053
6101,6051
6103,6053
6098,6059
6094,6045
6104,6047
6110,6057
6103,6057
6102,6047
6102,6049
6107,6042
6103,6049
6095,6059
6104,6058
6110,6051
6102,6044
6103,6057
6094,6047
6100,6062
6098,6046
6107,6044
6097,6042
6105,6036
6102,6052
6105,6057
6096,6045
6099,6057
6107,6053
6102,6050
6096,6057
6096,6045
6106,6048
6094,6054
6095,6058
6102,6051
6101,6041
6098,6039
6104,6053
6107,6051
6101,6049
6097,6054
6101,6050
6100,6052
6100,6048
6101,6060
6119,6105
6107,6055
6115,6048
6101,6037
6102,6043
6097,6051
6101,6050
6109,6056
6113,6059
6103,6061
6107,6052
6107,6029
6117,6050
6109,6051
6099,6054
6103,6052
6110,6045
6103,6061
6116,6058
6109,6050
6110,6057
6105,6049
6122,6047
6113,6042
6112,6040
6110,6041
6123,6053
6113,6059
6111,6046
6105,6060
6105,6053
6109,6046
6114,6046
6113,6050
6117,6055
6119,6068
6110,6050
6103,6050
6111,6064
6110,6058
6112,6055
6111,6063
6098,6053
6116,6059
6110,6055
6103,6055
6106,6050
6104,6056
6114,6096
6100,6053
6110,6049
6119,6057
6113,6054
6110,6055
6114,6055
6109,6050
6115,6057
6117,6060
6113,6046
6108,6052
6117,6043
6104,6058
6108,6056
6107,6053
6115,6047
6115,6043
6118,6052
6114,6049
6109,6056
6116,6057
6107,6056
6101,6052
6114,6053
6111,6048
6111,6049
6112,6051
6107,6046
6118,6045
6120,6055
6108,6046
6104,6065
6113,6051
6115,6039
6118,6063
