Channel 1,Channel 2
6101,6044
6099,6039
6115,6049
6109,6050
6103,6056
6109,6062
6109,6055
6104,6058
6101,6056
6096,6078
6105,6056
6104,6063
6108,6073
6108,6043
6096,6056
6108,6047
6101,6054
6103,6062
6118,6105
6118,6046
6106,6054
6101,6044
6108,6050
6108,6058
6098,6056
6105,6061
6101,6038
6104,6054
6104,6051
6095,6044
6113,6055
6105,6039
6101,6056
6100,6048
6102,6039
6108,6059
6106,6050
6108,6058
6112,6055
6106,6056
6099,6051
6112,6048
6104,6045
6104,6050
6103,6057
6108,6050
6094,6056
6095,6052
6105,6055
6107,6063
6103,6048
6104,6052
6095,6055
6099,6060
6108,6064
6099,6045
6097,6057
6098,6054
6105,6063
6102,6060
6098,6051
6103,6054
6138,6076
6063,6037
5996,5950
6114,6054
6152,6080
6114,6073
6129,6078
6089,6052
6096,6056
6091,6034
6093,6057
6105,6051
6108,6058
6096,6052
6095,6054
6110,6054
6100,6052
6111,6056
6100,6040
6103,6048
6109,6062
6103,6050
6113,6057
6106,6058
6098,6048
6102,6058
6099,6053
6102,6054
6105,6047
6106,6046
6109,6049
6112,6056
6099,6061
6102,6056
6110,6053
6105,6044
6103,6058
6095,6045
6112,6061
6101,6049
6102,6062
6104,6064
6102,6046
6102,6058
6110,6047
6109,6060
6107,6069
6109,6055
6107,6053
6103,6048
6104,6060
6111,6055
6108,6052
6105,6041
6104,6054
6105,6056
6098,6062
6112,6058
6105,6033
6108,6055
6105,6062
6112,6071
6111,6049
6115,6036
6119,6058
6111,6061
6117,6056
6114,6067
6111,6055
6119,6038
6111,6061
6108,6055
6118,6048
6109,6061
6121,6057
6105,6060
6108,6054
6108,6048
6101,6053
6103,6063
6118,6045
6101,6051
6116,6055
6112,6064
6107,6070
6114,6066
6114,6067
6109,6063
6110,6042
6104,6046
6099,6041
6110,6052
6102,6069
6109,6062
6099,6052
6115,6048
6110,6063
6098,6064
6106,6046
6105,6058
6109,6046
6111,6060
6105,6056
6104,6049
6113,6060
6107,6056
6106,6033
6101,6055
6104,6053
6102,6051
6099,6064
6113,6044
6097,6044
6113,6060
6113,6049
6107,6063
6105,6047
6116,6061
6107,6047
6099,6052
6108,6063
6102,6055
6109,6063
6101,6052
6105,6054
6107,6063
6098,6045
6092,6051
6113,6061
6100,6053
6108,6042
6094,6058
6106,6063
6098,6038
6105,6053
6112,6053
6110,6061
6111,6051
6102,6058
6100,6054
6104,6052
6101,6058
6115,6050
6117,6060
6096,6053
6115,6059
6106,6055
6104,6029
6111,6057
6107,6054
6110,6058
6111,6051
6107,6049
6134,6046
6116,6042
6111,6056
6110,6062
6121,6049
6111,6049
6118,6040
6114,6048
6119,6056
6127,6058
6121,6062
6111,6054
6105,6055
6117,6039
6115,6039
6113,6048
6127,6071
6109,6041
6119,6054
6100,6052
6114,6063
6108,6057
6102,6048
6107,6061
6105,6054
6117,6062
6110,6061
6106,6056
6107,6057
6105,6034
6102,6059
6102,6056
6112,6060
6114,6043
6112,6062
6108,6059
6115,6060
6100,6050
6115,6054
6122,6049
6112,6061
6109,6048
6108,6051
6108,6063
6119,6045
6107,6057
6113,6079
6113,6063
6111,6060
6112,6058
6103,6060
6108,6058
6105,6050
6102,6039
6111,6046
6103,6057
6110,6060
6115,6054
6119,6051
6116,6054
6118,6056
6110,6043
6114,6052
6112,6055
6111,6050
6114,6067
6118,6039
6116,6042
6117,6040
6104,6054
6112,6051
6106,6056
6106,6047
6114,6056
6110,6046
6107,6058
6107,6064
6109,6061
6107,6040
6102,6051
6102,6053
6117,6056
6117,6057
6110,6057
6106,6045
6115,6061
6113,6054
6113,6051
6112,6068
6116,6060
6122,6048
6118,6050
6113,6041
6120,6064
6115,6062
6116,6056
6123,6042
6102,6031
6114,6062
6118,6063
6105,6050
6111,6066
6115,6057
6110,6061
6114,6073
6108,6065
6123,6065
6112,6065
6121,6061
6108,6056
6120,6057
6117,6055
6119,6055
6119,6047
6114,6063
6081,6041
6149,6089
6136,6079
6095,6040
6113,6058
6137,6064
6118,6060
6101,6045
6101,6040
6124,6052
6097,6046
6116,6053
6083,6036
6113,6064
6100,6026
6099,6039
6103,6041
6121,6047
6105,6051
6118,6062
6111,6055
6129,6046
6111,6058
6111,6058
6122,6055
6116,6044
6133,6073
6109,6045
6119,6061
6115,6060
6126,6072
6117,6052
6129,6061
6122,6050
6112,6069
6121,6059
6127,6062
6126,6059
6130,6071
6120,6071
6122,6063
6124,6050
6119,6054
6115,6065
6107,6053
6107,6053
6119,6053
6123,6055
6119,6052
6115,6029
6124,6053
6114,6054
6121,6052
6108,6056
6114,6052
6116,6054
6126,6056
6117,6061
6117,6060
6106,6061
6121,6058
6122,6061
6124,6063
6115,6052
6126,6059
6115,6062
6121,6052
6121,6052
6115,6059
6113,6065
6116,6060
6113,6061
6114,6055
6114,6063
6115,6066
6120,6048
6121,6055
6114,6063
6114,6062
6112,6054
6122,6061
6126,6062
6119,6066
6120,6059
6118,6064
6120,6058
6123,6060
6116,6061
6125,6050
6125,6050
0,40
0,61680
0,0
6116,6052
5601,5581
5590,5582
5614,5577
5599,5561
5602,5586
5602,5589
5604,5574
5604,5581
5825,5755
6334,6325
6294,6294
6302,6311
6290,6299
6297,6295
6309,6291
6293,6299
6294,6314
6296,6329
6297,6336
6298,6332
6307,6334
6299,6353
6303,6353
6307,6328
6321,6321
6315,6343
6303,6349
6300,6331
6301,6339
6295,6318
6299,6332
6292,6319
6298,6336
6288,6320
6302,6319
6311,6329
