Channel 1,Channel 2
8512,0
8435,0
8364,0
8338,0
8192,0
8032,0
7846,0
7709,0
7479,0
7309,0
7191,0
7054,0
6963,0
6868,0
6810,0
6844,0
6910,0
7000,0
7102,0
7208,0
7373,0
7536,0
7803,0
8000,0
8214,0
8417,0
8554,0
8722,0
8819,0
8862,0
8880,0
8961,0
9024,0
9063,0
8945,0
8795,0
8636,0
8437,0
8224,0
8055,0
7914,0
7731,0
7579,0
7422,0
7312,0
7183,0
7079,0
6946,0
6892,0
6854,0
6875,0
6873,0
6931,0
6968,0
7050,0
7118,0
7232,0
7320,0
7432,0
7548,0
7693,0
7847,0
7980,0
8112,0
8279,0
8389,0
8496,0
8605,0
8643,0
8713,0
8818,0
8840,0
8860,0
8842,0
8783,0
8692,0
8550,0
8417,0
8285,0
8130,0
7965,0
7773,0
7585,0
7349,0
7195,0
7049,0
6999,0
6940,0
6933,0
6958,0
7005,0
7100,0
7212,0
7332,0
7438,0
7571,0
7685,0
7868,0
8034,0
8231,0
8419,0
8648,0
8720,0
8864,0
8900,0
8946,0
9018,0
9086,0
9023,0
8979,0
8844,0
8663,0
8580,0
8491,0
8391,0
8194,0
7987,0
7804,0
7603,0
7390,0
7310,0
7159,0
7022,0
6940,0
6876,0
6819,0
6827,0
6858,0
6886,0
6930,0
6976,0
7050,0
7175,0
7278,0
7435,0
7536,0
7643,0
7819,0
7936,0
8112,0
8244,0
8405,0
8579,0
8681,0
8730,0
8795,0
8882,0
8814,0
8827,0
8720,0
8553,0
8474,0
8353,0
8150,0
8062,0
7951,0
7794,0
7584,0
7400,0
7200,0
7055,0
6939,0
6896,0
6920,0
6944,0
6998,0
7134,0
7244,0
7398,0
7511,0
7691,0
7880,0
8120,0
8366,0
8534,0
8741,0
8891,0
9034,0
9240,0
9417,0
9421,0
9567,0
9674,0
9577,0
9544,0
9411,0
9367,0
9174,0
8970,0
8734,0
8565,0
8352,0
7997,0
7792,0
7573,0
7331,0
7188,0
7058,0
6959,0
6922,0
6889,0
