Filename,Teacher_Width,Position_mm,SegmentStart,SegmentEnd,SegmentLen
-1.csv,19.30232,224.8,506,2556,2048
-1.csv,19.30232,224.8,2557,4607,2048
-1.csv,19.30232,224.8,4608,6658,2048
-1.csv,19.30232,224.8,6659,8709,2048
-1.csv,19.30232,224.8,8710,10760,2048
-1.csv,19.30232,224.8,10761,12811,2048
-1.csv,19.30232,224.8,12812,14862,2048
-1.csv,19.30232,224.8,14863,16913,2048
-1.csv,19.30232,224.8,16914,18964,2048
-10.csv,19.412596,223.9,283,2333,2048
-10.csv,19.412596,223.9,2334,4384,2048
-10.csv,19.412596,223.9,4385,6435,2048
-10.csv,19.412596,223.9,6436,8486,2048
-10.csv,19.412596,223.9,8487,10537,2048
-10.csv,19.412596,223.9,10538,12588,2048
-10.csv,19.412596,223.9,12589,14639,2048
-10.csv,19.412596,223.9,14640,16690,2048
-10.csv,19.412596,223.9,16691,18741,2048
-100.csv,20.847282,214.9,1677,3727,2048
-100.csv,20.847282,214.9,3728,5778,2048
-100.csv,20.847282,214.9,5779,7829,2048
-100.csv,20.847282,214.9,7830,10317,2048
-100.csv,20.847282,214.9,10318,12368,2048
-100.csv,20.847282,214.9,12369,14419,2048
-100.csv,20.847282,214.9,14420,16470,2048
-100.csv,20.847282,214.9,16471,18521,2048
-101.csv,20.854336,214.8,1429,3479,2048
-101.csv,20.854336,214.8,3480,5530,2048
-101.csv,20.854336,214.8,5531,7581,2048
-101.csv,20.854336,214.8,7582,9632,2048
-101.csv,20.854336,214.8,9633,11683,2048
-101.csv,20.854336,214.8,11684,13734,2048
-101.csv,20.854336,214.8,13735,15785,2048
-101.csv,20.854336,214.8,15786,17836,2048
-101.csv,20.854336,214.8,17837,19887,2048
-102.csv,20.868835,214.7,1860,3910,2048
-102.csv,20.868835,214.7,3911,5961,2048
-102.csv,20.868835,214.7,5962,8012,2048
-102.csv,20.868835,214.7,8013,10063,2048
-102.csv,20.868835,214.7,10064,12114,2048
-102.csv,20.868835,214.7,12115,14165,2048
-102.csv,20.868835,214.7,14166,16216,2048
-102.csv,20.868835,214.7,16217,18267,2048
-103.csv,20.885357,214.6,45,2095,2048
-103.csv,20.885357,214.6,2096,4146,2048
-103.csv,20.885357,214.6,4147,6197,2048
-103.csv,20.885357,214.6,6198,8248,2048
-103.csv,20.885357,214.6,8249,10299,2048
-103.csv,20.885357,214.6,10300,12350,2048
-103.csv,20.885357,214.6,12351,14401,2048
-103.csv,20.885357,214.6,14402,16452,2048
-103.csv,20.885357,214.6,16453,18503,2048
-104.csv,20.91028,214.5,1209,3259,2048
-104.csv,20.91028,214.5,3260,5310,2048
-104.csv,20.91028,214.5,5311,7361,2048
-104.csv,20.91028,214.5,7362,9407,2044
-104.csv,20.91028,214.5,9408,11458,2048
-104.csv,20.91028,214.5,11459,13509,2048
-104.csv,20.91028,214.5,13510,15560,2048
-104.csv,20.91028,214.5,15561,17611,2048
-104.csv,20.91028,214.5,17612,19662,2048
-105.csv,20.917706,214.4,962,3012,2048
-105.csv,20.917706,214.4,3013,5063,2048
-105.csv,20.917706,214.4,5064,7114,2048
-105.csv,20.917706,214.4,7115,9165,2048
-105.csv,20.917706,214.4,9166,11216,2048
-105.csv,20.917706,214.4,11217,13267,2048
-105.csv,20.917706,214.4,13268,15318,2048
-105.csv,20.917706,214.4,15319,17369,2048
-105.csv,20.917706,214.4,17370,19420,2048
