Channel 1,Channel 2
6235,6398
6231,6394
6221,6396
6180,6383
6223,6402
6229,6427
6160,6382
6206,6382
6421,6582
6342,6523
6224,6369
6169,6347
6229,6371
6238,6364
6207,6361
6207,6358
6229,6373
6230,6398
6226,6402
6228,6385
6233,6401
6225,6387
6230,6398
6222,6381
6216,6392
6218,6384
6217,6419
6210,6399
6221,6401
6229,6370
6220,6338
6222,6353
6209,6364
6219,6364
6228,6367
6228,6363
6220,6371
6218,6385
6224,6386
6237,6369
6225,6384
6216,6361
6214,6372
6202,6359
6216,6380
6227,6382
6217,6371
6224,6369
6224,6397
6217,6375
6219,6350
6219,6364
6224,6360
6225,6373
6210,6369
6212,6362
6216,6367
6221,6381
6238,6385
6252,6369
6234,6378
6224,6380
6210,6377
6221,6390
6217,6371
6214,6360
6212,6350
6212,6360
6225,6375
6204,6344
6229,6391
6228,6381
6216,6354
6223,6347
6224,6353
6220,6362
6224,6364
6218,6362
6228,6377
6232,6364
6228,6387
6238,6365
6225,6351
6230,6376
6227,6344
6227,6375
6228,6370
6217,6349
6217,6378
6226,6362
6231,6354
6223,6370
6244,6357
6237,6350
6225,6368
6231,6385
6228,6366
6224,6381
6226,6368
6224,6386
6222,6385
6241,6384
6235,6356
6241,6350
6236,6324
6226,6320
6227,6338
6218,6337
6224,6347
6235,6365
6237,6344
6238,6359
6234,6358
6217,6346
6238,6369
6225,6355
6239,6353
6244,6328
6247,6348
6234,6377
6230,6376
6229,6370
6215,6375
6241,6357
6235,6354
6225,6329
6229,6330
6242,6332
6239,6346
6238,6329
6249,6342
6254,6363
6260,6329
6273,6347
6269,6349
6288,6338
6293,6334
6290,6315
6316,6318
6322,6334
6348,6352
6363,6340
6366,6364
6380,6368
6400,6360
6406,6352
6429,6341
6448,6354
6438,6338
6422,6355
6425,6347
6420,6351
6417,6339
6416,6342
6408,6360
6406,6344
6440,6335
6444,6332
6482,6327
6533,6301
6608,6320
6677,6322
6743,6311
6856,6331
6921,6327
6996,6325
7084,6335
7117,6357
7176,6390
7234,6368
7334,6398
7444,6384
7628,6400
7742,6398
7909,6399
8002,6404
8107,6411
8155,6443
8226,6469
8199,6489
8195,6542
8204,6566
8253,6597
8291,6644
8284,6648
8269,6655
8226,6698
8191,6802
8189,6805
8126,6842
8012,6916
8001,6952
7951,7003
7824,7012
7743,7037
7620,7109
7577,7126
7552,7112
7409,7117
7345,7118
7202,7111
7102,7099
