Channel 1,Channel 2
6113,6049
6115,6050
6119,6041
6114,6040
6113,6006
6121,6051
6119,6063
6123,6052
6114,6053
6117,6053
6112,6052
6112,6046
6117,6048
6113,6047
6119,6049
6111,6044
6118,6042
6112,6036
6107,6048
6106,6034
6108,6053
6108,6042
6104,6050
6110,6043
6107,6047
6101,6028
6103,6053
6091,6054
6107,6040
6101,6037
6112,6051
6106,6000
6109,6054
6103,6052
6113,6050
6100,6039
6107,6045
6121,6051
6110,6048
6110,6043
6105,6050
6108,6057
6117,6047
6103,6047
6108,6043
6109,6050
6112,6055
6116,6047
6106,6055
6106,6040
6105,6056
6105,6054
6115,6052
6111,6044
6114,6055
6108,6039
6106,6044
6109,6039
6120,6046
6110,6055
6109,6063
6108,6054
6112,6035
6113,6052
6109,6046
6113,6041
6113,6047
6101,6046
6115,6046
6095,6037
6106,6052
6107,6055
6115,6050
6103,6055
6117,6034
6117,6036
6109,6046
6103,6044
6105,6050
6111,6061
6118,6052
6110,6053
6107,6063
6126,6062
6114,6062
6109,6042
6108,6052
6115,6036
6108,6055
6109,6053
6116,6050
6119,6059
6117,6063
6115,6048
6117,6051
6104,6039
6112,6053
6125,6058
6094,6030
6108,6056
6110,6056
6117,6054
6116,6061
6111,6053
6119,6055
6113,6064
6116,6060
6110,6046
6114,6049
6111,6038
6122,6052
6117,6044
6111,6036
6117,6068
6118,6064
6115,6055
6111,6058
6117,6056
6113,6033
6115,6047
6111,6040
6112,6044
6119,6054
6117,6048
6112,6060
6112,6062
6117,6051
6107,6038
6114,6049
6114,6045
6110,6060
6116,6059
6109,6051
6123,6049
6114,6048
6116,6055
6110,6062
6110,6062
6110,6049
6121,6057
6120,6041
6120,6049
6109,6052
6113,6060
6114,6058
6115,6057
6110,6051
6112,6054
6115,6046
6108,6058
6112,6060
6108,6056
6113,6053
6107,6061
6106,6063
6114,6039
6114,6052
6113,6062
6116,6057
6102,6063
6102,6063
6112,6061
6118,6045
6112,6058
6116,6060
6115,6048
6125,6050
6122,6054
6117,6053
6116,6066
6112,6055
6111,6058
6120,6070
6118,6048
6109,6058
6112,6067
6125,6062
6113,6041
6117,6042
6117,6055
6111,6069
6112,6062
6112,6062
6111,6061
6114,6049
6110,6061
6113,6053
6112,6053
6111,6060
6119,6045
6113,6059
6116,6050
6114,6049
6115,6053
6106,6051
6117,6052
6118,6040
6112,6053
6117,6053
6122,6057
6115,6043
6117,6049
6107,6051
0,30
0,61680
0,0
6110,6051
5596,5589
5597,5570
5602,5582
5597,5583
5603,5575
5600,5577
5603,5574
5600,5581
5814,5746
6312,6313
6286,6305
6312,6297
6317,6341
6275,6317
6291,6288
6278,6298
6289,6310
6286,6300
6296,6321
6305,6331
6307,6317
6283,6341
6282,6338
6294,6319
6302,6326
6305,6327
6290,6325
6303,6334
6312,6337
6304,6328
6284,6325
6272,6306
6285,6320
6285,6314
6278,6325
6293,6329
6288,6337
6312,6372
6307,6352
6298,6344
6296,6327
6271,6372
6288,6324
6285,6346
6297,6327
6307,6347
6303,6341
6309,6303
6300,6324
6297,6350
6284,6337
6294,6354
6304,6330
6299,6345
6297,6356
6289,6337
6313,6321
6322,6343
6300,6349
6321,6337
6307,6330
6279,6317
6271,6295
6284,6296
6303,6334
6317,6336
6298,6345
6310,6342
6319,6319
6314,6335
6294,6336
6292,6316
6295,6305
6285,6317
6292,6306
6294,6328
6298,6340
6306,6310
6308,6310
6305,6333
6296,6324
6283,6345
6304,6324
6307,6300
6282,6309
6275,6336
6283,6346
6283,6358
6291,6295
6280,6310
6282,6328
6287,6349
6298,6339
6312,6342
6324,6351
6289,6332
6279,6344
6291,6298
6287,6322
6304,6319
6295,6304
6287,6320
6282,6306
6280,6315
6281,6321
6285,6319
6289,6336
6292,6314
6308,6343
6285,6333
6277,6326
6270,6347
6302,6339
6280,6326
6280,6353
6291,6320
6304,6319
6271,6330
6275,6298
6274,6318
6291,6363
6302,6365
6296,6335
6286,6327
6275,6358
6288,6361
6303,6343
6280,6334
6278,6321
6301,6333
6290,6346
6294,6362
6286,6363
6301,6327
6294,6336
6288,6324
6306,6300
6299,6313
6289,6338
6288,6372
6295,6347
6296,6343
6270,6354
6277,6338
6289,6346
6300,6345
6298,6333
6294,6330
6511,6548
6340,6353
6260,6384
6335,6357
6285,6384
6329,6349
6303,6353
6302,6366
6312,6364
6304,6343
6298,6328
6270,6319
6274,6335
6264,6332
6289,6350
6288,6361
6273,6336
6288,6335
6305,6357
6272,6345
6262,6351
6284,6329
6268,6321
6274,6331
6275,6344
6280,6327
6285,6334
6295,6347
6293,6342
6278,6373
6264,6364
6278,6353
6273,6334
6285,6333
6276,6324
6268,6335
6279,6332
6293,6314
6279,6321
6284,6366
6267,6384
6289,6376
6281,6375
6270,6374
6265,6351
6289,6363
6269,6380
6260,6350
6268,6369
6267,6347
6277,6337
6284,6369
6278,6379
6266,6382
6279,6365
6267,6334
6276,6390
6258,6396
6272,6362
6273,6365
6244,6366
6265,6358
6258,6342
6280,6344
6299,6374
6279,6366
6279,6362
6268,6358
