Filename,Position_mm,Teacher_Width
-449.csv,180.0,28.935505
-449.csv,180.0,28.935505
-449.csv,180.0,28.935505
-449.csv,180.0,28.935505
-449.csv,180.0,28.935505
-449.csv,180.0,28.935505
-449.csv,180.0,28.935505
-449.csv,180.0,28.935505
-448.csv,180.1,28.928148
-448.csv,180.1,28.928148
-448.csv,180.1,28.928148
-448.csv,180.1,28.928148
-448.csv,180.1,28.928148
-448.csv,180.1,28.928148
-448.csv,180.1,28.928148
-448.csv,180.1,28.928148
-448.csv,180.1,28.928148
-447.csv,180.2,28.907555
-447.csv,180.2,28.907555
-447.csv,180.2,28.907555
-447.csv,180.2,28.907555
-447.csv,180.2,28.907555
-447.csv,180.2,28.907555
-447.csv,180.2,28.907555
-447.csv,180.2,28.907555
-446.csv,180.3,28.869135
-446.csv,180.3,28.869135
-446.csv,180.3,28.869135
-446.csv,180.3,28.869135
-446.csv,180.3,28.869135
-446.csv,180.3,28.869135
-446.csv,180.3,28.869135
-446.csv,180.3,28.869135
-446.csv,180.3,28.869135
-445.csv,180.4,28.842886
-445.csv,180.4,28.842886
-445.csv,180.4,28.842886
-445.csv,180.4,28.842886
-445.csv,180.4,28.842886
-445.csv,180.4,28.842886
-445.csv,180.4,28.842886
-445.csv,180.4,28.842886
-444.csv,180.5,28.805037
-444.csv,180.5,28.805037
-444.csv,180.5,28.805037
-444.csv,180.5,28.805037
-444.csv,180.5,28.805037
-444.csv,180.5,28.805037
-444.csv,180.5,28.805037
-444.csv,180.5,28.805037
-444.csv,180.5,28.805037
-443.csv,180.6,28.774227
-443.csv,180.6,28.774227
-443.csv,180.6,28.774227
-443.csv,180.6,28.774227
-443.csv,180.6,28.774227
-443.csv,180.6,28.774227
-443.csv,180.6,28.774227
-443.csv,180.6,28.774227
-443.csv,180.6,28.774227
-442.csv,180.7,28.742678
-442.csv,180.7,28.742678
-442.csv,180.7,28.742678
-442.csv,180.7,28.742678
-442.csv,180.7,28.742678
-442.csv,180.7,28.742678
-442.csv,180.7,28.742678
-442.csv,180.7,28.742678
-442.csv,180.7,28.742678
-441.csv,180.8,28.705027
-441.csv,180.8,28.705027
-441.csv,180.8,28.705027
-441.csv,180.8,28.705027
-441.csv,180.8,28.705027
-441.csv,180.8,28.705027
-441.csv,180.8,28.705027
-441.csv,180.8,28.705027
-441.csv,180.8,28.705027
-440.csv,180.9,28.681274
-440.csv,180.9,28.681274
-440.csv,180.9,28.681274
-440.csv,180.9,28.681274
-440.csv,180.9,28.681274
-440.csv,180.9,28.681274
-440.csv,180.9,28.681274
-440.csv,180.9,28.681274
-440.csv,180.9,28.681274
-439.csv,181.0,28.632107
