Filename,Pred_Width,Segment_Count
-449.csv,19.350157,8
-448.csv,19.409966,9
-447.csv,20.694433,8
-446.csv,20.880953,9
-445.csv,20.889194,8
-444.csv,20.90098,9
-443.csv,20.913565,9
-442.csv,20.921776,9
-441.csv,20.943302,9
-440.csv,20.943474,9
-439.csv,20.961678,9
-438.csv,20.790794,9
-437.csv,19.600275,9
-436.csv,20.992361,9
-435.csv,21.148355,8
-434.csv,21.007597,9
-433.csv,21.033636,8
-432.csv,21.056944,9
-431.csv,21.059977,9
-430.csv,21.07556,9
-429.csv,21.1346,9
-428.csv,21.103823,8
-427.csv,21.124382,9
-426.csv,19.673885,9
-425.csv,21.148031,9
-424.csv,21.1622,9
-423.csv,21.18886,9
-422.csv,21.210442,9
-421.csv,21.234245,9
-420.csv,21.25827,8
-419.csv,21.290165,8
-418.csv,21.310501,8
-417.csv,21.333355,9
-416.csv,21.13363,9
-415.csv,19.87699,9
-414.csv,21.432295,9
-413.csv,21.429277,9
-412.csv,21.454573,9
-411.csv,21.490551,9
-410.csv,21.517164,8
-409.csv,21.529104,9
-408.csv,21.561424,8
-407.csv,21.584064,9
-406.csv,21.61135,8
-405.csv,20.660507,9
-404.csv,20.282398,8
-403.csv,21.661812,9
-402.csv,21.65915,9
-401.csv,21.683048,9
-400.csv,21.707808,8
-399.csv,21.731361,9
-398.csv,21.740406,9
-397.csv,21.761196,9
-396.csv,21.770615,8
-395.csv,21.795668,9
-394.csv,20.06041,8
-393.csv,21.285042,9
-392.csv,21.80961,8
-391.csv,21.82677,9
-390.csv,21.87159,9
-389.csv,21.83436,9
-388.csv,21.811672,8
-387.csv,21.814478,9
-386.csv,21.816181,9
-385.csv,21.814127,9
-384.csv,21.818764,8
-383.csv,19.507172,9
-382.csv,21.834663,9
-381.csv,21.82364,9
-380.csv,21.834162,9
-379.csv,21.903744,9
-378.csv,21.8794,9
-377.csv,21.901419,8
-376.csv,21.925825,9
-375.csv,21.98127,9
-374.csv,21.984735,9
-373.csv,22.030994,8
-372.csv,19.793411,9
-371.csv,22.048485,9
-370.csv,22.078547,9
-369.csv,22.094051,9
-368.csv,22.127079,8
-367.csv,22.158491,8
-366.csv,22.1619,8
-365.csv,22.195715,8
-364.csv,22.21711,9
-363.csv,22.215763,9
-362.csv,21.035673,9
-361.csv,20.739216,9
-360.csv,22.274818,9
-359.csv,22.264414,8
-358.csv,22.371544,9
-357.csv,22.282982,8
-356.csv,22.308327,8
-355.csv,22.332258,9
-354.csv,22.321993,9
-353.csv,22.319542,8
-352.csv,22.331327,9
-351.csv,20.17507,9
-350.csv,21.730707,9
-349.csv,22.55839,8
-348.csv,22.380144,8
-347.csv,22.416573,9
-346.csv,22.467651,9
-345.csv,22.472713,9
-344.csv,22.472162,8
-343.csv,22.511776,9
-342.csv,22.633766,9
-341.csv,22.549372,8
-340.csv,20.061743,9
-339.csv,19.513449,9
-338.csv,21.926207,9
-337.csv,22.604393,9
-336.csv,22.624453,8
-335.csv,22.66313,9
-334.csv,22.68578,9
-333.csv,22.83035,9
-332.csv,22.992603,9
-331.csv,22.902378,9
-330.csv,22.952456,9
-329.csv,22.970951,8
-328.csv,20.421915,8
-327.csv,21.877535,9
-326.csv,23.020483,8
-325.csv,23.101362,8
-324.csv,23.09444,8
-323.csv,23.076576,8
-322.csv,23.092514,9
-321.csv,23.132896,9
-320.csv,23.194227,9
-319.csv,23.211052,9
-318.csv,23.233662,8
-317.csv,20.884884,9
-316.csv,22.102442,9
-315.csv,23.234903,8
-314.csv,23.28549,8
-313.csv,23.316574,8
-312.csv,23.346598,9
-311.csv,23.35033,8
-310.csv,23.387716,9
-309.csv,23.399853,8
-308.csv,23.428259,9
-307.csv,23.439575,9
-306.csv,22.989845,8
-305.csv,20.114521,8
-304.csv,23.481602,9
-303.csv,23.51616,8
-302.csv,23.532915,9
-301.csv,23.558565,9
-300.csv,23.559614,9
-299.csv,23.58758,9
-298.csv,23.60067,9
-297.csv,23.623953,9
-296.csv,23.627085,9
-295.csv,21.345627,7
-294.csv,21.149405,8
-293.csv,23.645264,9
-292.csv,23.669296,8
-291.csv,23.682579,9
-290.csv,23.695572,9
-289.csv,23.715698,9
-288.csv,23.731606,8
-287.csv,23.752779,8
-286.csv,23.755835,8
-285.csv,23.786322,8
-284.csv,23.893627,8
-283.csv,20.134892,9
-282.csv,23.814949,9
-281.csv,23.85997,8
-280.csv,23.83467,8
-279.csv,23.839226,9
-278.csv,23.837904,8
-277.csv,23.860779,9
-276.csv,23.893,9
-275.csv,23.897196,9
-274.csv,23.907999,9
-273.csv,23.92595,8
-272.csv,19.683645,9
-271.csv,23.947622,8
-270.csv,24.019121,9
-269.csv,23.972784,9
-268.csv,23.991173,9
-267.csv,23.98261,9
-266.csv,24.036749,8
-265.csv,24.022495,9
-264.csv,24.059147,9
-263.csv,24.057184,9
-262.csv,24.082039,9
-261.csv,19.702183,8
-260.csv,24.087627,9
-259.csv,24.13811,9
-258.csv,24.1715,9
-257.csv,24.17097,8
-256.csv,24.177631,8
-255.csv,24.311716,8
-254.csv,24.273766,9
-253.csv,24.343443,9
-252.csv,24.394173,9
-251.csv,24.43558,8
-250.csv,20.242395,9
-249.csv,23.94671,9
-248.csv,24.537743,9
-247.csv,24.557467,9
-246.csv,24.593733,8
-245.csv,24.68615,9
-244.csv,24.69307,8
-243.csv,24.714073,9
-242.csv,24.751608,9
-241.csv,24.771473,9
-240.csv,22.546516,9
-239.csv,21.648388,8
-238.csv,24.806793,8
-237.csv,24.836164,8
-236.csv,24.87729,8
-235.csv,24.88824,9
-234.csv,24.921501,9
-233.csv,24.937677,8
-232.csv,24.95688,8
-231.csv,24.97447,9
-230.csv,24.99621,9
-229.csv,23.760017,9
-228.csv,19.457663,9
-227.csv,20.940199,9
-226.csv,25.042906,9
-225.csv,25.055454,8
-224.csv,25.067537,9
-223.csv,25.084503,9
-222.csv,25.09814,9
-221.csv,25.110964,9
-220.csv,25.118557,9
-219.csv,25.12812,9
-218.csv,25.139513,9
-217.csv,22.163017,9
-216.csv,23.13749,8
-215.csv,25.162588,9
-214.csv,25.150803,8
-213.csv,25.209259,7
-212.csv,25.254524,8
-211.csv,25.217747,9
-210.csv,25.253109,9
-209.csv,25.262362,9
-208.csv,25.279366,9
-207.csv,25.292974,9
-206.csv,21.906118,8
-205.csv,22.876362,9
-204.csv,25.348835,9
-203.csv,25.375631,9
-202.csv,25.418423,8
-201.csv,25.45715,9
-200.csv,25.454626,9
-199.csv,25.419592,8
-198.csv,25.474306,9
-197.csv,25.501036,8
-196.csv,25.507973,9
-195.csv,20.452461,9
-194.csv,25.53027,8
-193.csv,25.539694,9
-192.csv,25.597626,8
-191.csv,25.63986,9
-190.csv,25.669477,9
-189.csv,25.717031,8
-188.csv,25.74973,9
-187.csv,25.763685,8
-186.csv,25.77949,8
-185.csv,25.790247,8
-184.csv,23.14956,9
-183.csv,22.07251,8
-182.csv,25.817078,8
-181.csv,25.83979,8
-180.csv,25.860565,9
-179.csv,25.88453,8
-178.csv,25.907719,9
-177.csv,25.931051,8
-176.csv,25.971594,9
-175.csv,26.014517,9
-174.csv,26.066586,8
-173.csv,25.306507,8
-172.csv,19.848806,8
-171.csv,26.19105,9
-170.csv,26.208918,7
-169.csv,26.211388,8
-168.csv,26.224043,9
-167.csv,26.265574,9
-166.csv,26.293324,8
-165.csv,26.252205,9
-164.csv,26.270506,9
-163.csv,26.348518,9
-162.csv,26.435984,9
-161.csv,19.859577,9
-160.csv,26.459486,9
-159.csv,26.498087,9
-158.csv,26.541265,7
-157.csv,26.56741,9
-156.csv,26.613062,9
-155.csv,26.639107,9
-154.csv,26.686153,8
-153.csv,26.72241,8
-152.csv,26.668795,8
-151.csv,26.79756,9
-150.csv,20.649694,9
-149.csv,25.841923,7
-148.csv,26.871721,9
-147.csv,26.905596,9
-146.csv,26.93919,8
-145.csv,26.975998,9
-144.csv,26.977276,8
-143.csv,26.99804,8
-142.csv,27.027237,8
-141.csv,27.045174,9
-140.csv,27.0632,9
-139.csv,24.39903,8
-138.csv,21.704855,8
-137.csv,27.098885,9
-136.csv,27.118969,8
-135.csv,27.133444,9
-134.csv,27.17981,8
-133.csv,27.175901,9
-132.csv,27.21783,9
-131.csv,27.229015,9
-130.csv,27.248407,8
-129.csv,27.2634,9
-128.csv,26.45742,9
-127.csv,20.75038,9
-126.csv,27.285618,9
-125.csv,27.303474,8
-124.csv,27.346668,8
-123.csv,27.3717,9
-122.csv,27.4013,8
-121.csv,27.423946,9
-120.csv,27.464815,9
-119.csv,27.486835,9
-118.csv,27.503094,9
-117.csv,26.63395,9
-116.csv,19.489882,9
-115.csv,22.504564,9
-114.csv,27.654078,8
-113.csv,27.713547,9
-112.csv,27.754858,9
-111.csv,27.785074,8
-110.csv,27.77464,9
-109.csv,27.799517,9
-108.csv,27.854584,9
-107.csv,27.938547,9
-106.csv,27.992022,7
-105.csv,25.360115,9
-104.csv,22.695724,9
-103.csv,28.126886,9
-102.csv,28.147831,8
-101.csv,28.16212,9
-100.csv,28.145409,8
-99.csv,28.2153,8
-98.csv,28.247261,9
-97.csv,28.268988,8
-96.csv,28.328094,9
-95.csv,28.346788,9
-94.csv,26.452091,9
-93.csv,21.826498,9
-92.csv,28.354631,9
-91.csv,28.47799,8
-90.csv,28.477211,9
-89.csv,28.460287,9
-88.csv,28.427013,9
-87.csv,28.353035,9
-86.csv,28.423777,8
-85.csv,28.4521,8
-84.csv,28.568258,9
-83.csv,27.55081,9
-82.csv,21.906013,9
-81.csv,28.52703,9
-80.csv,28.515642,9
-79.csv,28.588161,8
-78.csv,28.681482,8
-77.csv,28.667976,9
-76.csv,28.763945,8
-75.csv,28.786959,8
-74.csv,28.836538,9
-73.csv,28.88187,9
-72.csv,28.91323,9
-71.csv,20.044504,8
-70.csv,28.985518,9
-69.csv,29.024923,9
-68.csv,29.065786,8
-67.csv,29.09852,9
-66.csv,29.141073,9
-65.csv,29.185709,9
-64.csv,29.228125,8
-63.csv,29.262325,8
-62.csv,29.373291,8
-61.csv,29.391085,7
-60.csv,23.172157,9
-59.csv,20.066399,9
-58.csv,20.088215,9
-57.csv,20.105446,9
-56.csv,20.118912,8
-55.csv,19.458075,9
-54.csv,20.13171,9
-53.csv,20.144573,8
-52.csv,20.159231,9
-51.csv,20.169107,9
-50.csv,20.188578,9
-49.csv,20.223087,8
-48.csv,20.253948,8
-47.csv,20.24104,8
-46.csv,20.257938,9
-45.csv,20.264488,8
-44.csv,19.607872,8
-43.csv,19.955908,8
-42.csv,20.308987,9
-41.csv,20.322262,9
-40.csv,20.375624,8
-39.csv,20.384909,9
-38.csv,20.390574,9
-37.csv,20.419142,9
-36.csv,20.44189,9
-35.csv,20.459501,9
-34.csv,20.54158,9
-33.csv,19.386597,8
-32.csv,20.477701,9
-31.csv,20.495445,8
-30.csv,20.546019,9
-29.csv,20.546963,9
-28.csv,20.544281,9
-27.csv,20.563038,8
-26.csv,20.585518,9
-25.csv,20.595455,8
-24.csv,20.633533,9
-23.csv,20.477009,8
-22.csv,19.53219,9
-21.csv,20.648544,9
-20.csv,20.652758,9
-19.csv,20.675198,9
-18.csv,20.675896,9
-17.csv,20.69005,8
-16.csv,20.71017,9
-15.csv,20.717022,8
-14.csv,20.725304,9
-13.csv,20.732183,8
-12.csv,20.7527,8
-11.csv,19.558434,9
-10.csv,20.60897,9
-9.csv,20.77065,9
-8.csv,20.780333,9
-7.csv,20.87738,9
-6.csv,20.79494,9
-5.csv,20.806236,8
-4.csv,20.817427,8
-3.csv,20.82466,9
-2.csv,20.8431,9
-1.csv,20.861195,9
0.csv,19.343512,8
1.csv,19.333378,7
2.csv,19.237093,9
3.csv,19.249132,9
4.csv,19.21888,9
5.csv,19.216148,9
6.csv,19.2075,8
7.csv,19.196482,8
8.csv,19.190338,9
9.csv,19.174059,9
10.csv,19.166481,9
11.csv,19.161367,9
12.csv,19.28677,9
13.csv,19.183573,9
14.csv,19.146484,9
15.csv,19.124308,9
16.csv,19.122393,9
17.csv,19.103708,9
18.csv,19.096952,9
19.csv,19.152924,9
20.csv,19.06691,8
21.csv,19.064693,8
22.csv,19.072275,9
23.csv,19.272367,9
24.csv,19.035496,9
25.csv,19.014223,8
26.csv,18.997442,8
27.csv,18.99812,9
28.csv,18.97837,9
29.csv,18.964752,8
30.csv,18.959862,8
31.csv,18.948374,8
32.csv,18.939642,8
33.csv,18.932901,8
34.csv,19.346865,9
35.csv,18.97262,9
36.csv,18.924006,9
37.csv,18.927795,8
38.csv,18.921446,9
39.csv,18.920784,9
40.csv,18.916847,8
41.csv,18.926634,8
42.csv,18.920248,9
43.csv,18.924215,8
44.csv,19.048676,9
45.csv,19.19822,8
